index,category,original_text,normalized_text,model,voice,audio_path,status
1,Date,The event is on 05/20/2023.,The event is on May twentieth twenty twenty three.,Kokoro-82M,af_heart,af_heart\Date\1.wav,generated
2,Date,Her birthday is Oct 12.,Her birthday is October twelfth.,Kokoro-82M,af_heart,af_heart\Date\2.wav,generated
3,Date,They married on 3rd July 1995.,They married on July third nineteen ninety five.,Kokoro-82M,af_heart,af_heart\Date\3.wav,generated
4,Date,The deadline is 2024-12-31.,The deadline is December thirty first twenty twenty four.,Kokoro-82M,af_heart,af_heart\Date\4.wav,generated
5,Date,We moved in on 1/1/22.,We moved in on January first twenty two.,Kokoro-82M,af_heart,af_heart\Date\5.wav,generated
6,Date,The meeting is scheduled for 15th August.,The meeting is scheduled for the fifteenth of August.,Kokoro-82M,af_heart,af_heart\Date\6.wav,generated
7,Date,He was born on 04-09-1980.,He was born on April ninth nineteen eighty.,Kokoro-82M,af_heart,af_heart\Date\7.wav,generated
8,Date,The festival runs from June 5 to June 10.,The festival runs from June fifth to June tenth.,Kokoro-82M,af_heart,af_heart\Date\8.wav,generated
9,Date,The contract expires on 11/30.,The contract expires on November thirtieth.,Kokoro-82M,af_heart,af_heart\Date\9.wav,generated
10,Date,The document is dated 7-4-1776.,The document is dated July fourth seventeen seventy six.,Kokoro-82M,af_heart,af_heart\Date\10.wav,generated
11,Date,The conference is on 2025/03/15.,The conference is on March fifteenth twenty twenty five.,Kokoro-82M,af_heart,af_heart\Date\11.wav,generated
12,Date,The flight is booked for 2nd September.,The flight is booked for September second.,Kokoro-82M,af_heart,af_heart\Date\12.wav,generated
13,Date,The warranty ends on 12/25/2024.,The warranty ends on December twenty fifth twenty twenty four.,Kokoro-82M,af_heart,af_heart\Date\13.wav,generated
14,Date,The deadline is 31 Jan 2025.,The deadline is January thirty first twenty twenty five.,Kokoro-82M,af_heart,af_heart\Date\14.wav,generated
15,Date,The event starts on 06/10.,The event starts on June tenth.,Kokoro-82M,af_heart,af_heart\Date\15.wav,generated
16,Date,The report was filed on 8-15-2023.,The report was filed on August fifteenth twenty twenty three.,Kokoro-82M,af_heart,af_heart\Date\16.wav,generated
17,Date,The exhibit opens on 09/01/24.,The exhibit opens on September first twenty four.,Kokoro-82M,af_heart,af_heart\Date\17.wav,generated
18,Date,The sale ends on 5th Nov.,The sale ends on November fifth.,Kokoro-82M,af_heart,af_heart\Date\18.wav,generated
19,Date,The application is due 2026-07-04.,The application is due July fourth twenty twenty six.,Kokoro-82M,af_heart,af_heart\Date\19.wav,generated
20,Date,The reunion is on 10/10/25.,The reunion is on October tenth twenty five.,Kokoro-82M,af_heart,af_heart\Date\20.wav,generated
